name
Eren Yeager
Mikasa Ackerman
Armin Arlert
Levi Ackerman
Erwin Smith
Hange Zoë
Jean Kirstein
Connie Springer
Sasha Blouse
Historia Reiss
Reiner Braun
Bertholdt Hoover
Annie Leonhart
Zeke Yeager
Ymir Fritz
Porco Galliard
Pieck Finger
Falco Grice
Gabi Braun
Kenny Ackerman
Grisha Yeager
Carla Yeager
Dina Fritz
Frieda Reiss
Rod Reiss
Keith Shadis
Dot Pixis
Nile Dok
Moblit Berner
Petra Ral
Oluo Bozado
Eld Jinn
Gunther Schultz
Marco Bott
Floch Forster
Hannes
Theo Magath
Willy Tybur
Lara Tybur
Colt Grice
Yelena
Onyankopon
Nicolo
Hitch Dreyse
Marlowe Freudenberg
Tom Ksaver
Marcel Galliard
Kaya
Miche Zacharias
Dhalis Zachary
Eren Kruger
Ymir
